,Options,,,,N,Round,ADP,Players + Rookies (390),Rank,,N,Round,ADP,Rookie Pick,,N,Round,ADP,Custom1 Ranks 08/26-09/09 (376),Rank,,N,Round,ADP,Rookie Drafts (60),Rank,,N,Round,ADP,Players + Picks (361),,Rank,QB (56),ADP,Rank,RB (122),ADP,Rank,WR (152),ADP,Rank,TE (60),ADP
,,,,,1,1.01,1.2,Josh Allen BUF QB,QB1,,1,2.12,24.4,Rookie 1.01 Pick,,1,1.01,1.2,Josh Allen BUF QB,QB1,,1,1.01,1.0,Breece Hall NYJ RB,RB1,,1,1.01,1.2,Josh Allen BUF QB,,QB1,Josh Allen BUF QB,1.2,RB1,Jonathan Taylor IND RB,4.9,WR1,Ja'Marr Chase CIN WR,7.0,TE1,Kyle Pitts ATL TE,12.8
,Filters,,,,2,1.03,2.7,Patrick Mahomes KC QB,QB2,,2,4.05,41.1,Rookie 1.02 Pick,,2,1.02,2.3,Justin Herbert LAC QB,QB2,,2,1.03,3.0,Kenneth Walker SEA RB,RB2,,2,1.03,2.7,Patrick Mahomes KC QB,,QB2,Patrick Mahomes KC QB,2.7,RB2,Najee Harris PIT RB,11.3,WR2,Justin Jefferson MIN WR,8.4,TE2,Mark Andrews BAL TE,20.2
,Players ADP,May,,,3,1.03,2.8,Justin Herbert LAC QB,QB3,,3,5.04,51.5,Rookie 1.03 Pick,,3,1.03,3.1,Patrick Mahomes KC QB,QB3,,3,1.03,3.4,Drake London ATL WR,WR1,,3,1.03,2.8,Justin Herbert LAC QB,,QB3,Justin Herbert LAC QB,2.8,RB3,Javonte Williams DEN RB,16.8,WR3,CeeDee Lamb DAL WR,17.9,TE3,Travis Kelce KC TE,41.8
,Filter Rookies,FALSE,,,4,1.05,4.9,Jonathan Taylor IND RB,RB1,,4,5.12,60.0,Rookie 1.04 Pick,,4,1.05,5.0,Jonathan Taylor IND RB,RB1,,4,1.05,4.5,Treylon Burks TEN WR,WR2,,4,1.05,4.9,Jonathan Taylor IND RB,,QB4,Joe Burrow CIN QB,5.2,RB4,D'Andre Swift DET RB,17.5,WR4,Cooper Kupp LAR WR,18.7,TE4,George Kittle SF TE,42.8
,Picks ADP,Post Draft,,,5,1.05,5.2,Joe Burrow CIN QB,QB4,,5,6.06,65.6,Rookie 1.05 Pick,,5,1.06,5.8,Joe Burrow CIN QB,QB4,,5,1.05,4.7,Garrett Wilson NYJ WR,WR3,,5,1.05,5.2,Joe Burrow CIN QB,,QB5,Kyler Murray ARI QB,7.2,RB5,Christian McCaffrey CAR RB,19.3,WR5,A.J. Brown PHI WR,25.4,TE5,T.J. Hockenson DET TE,56.6
,Rookies ADP,May,,,6,1.07,7.0,Ja'Marr Chase CIN WR,WR1,,6,7.02,74.0,Rookie 1.06 Pick,,6,1.07,7.0,Justin Jefferson MIN WR,WR1,,6,1.07,6.9,Jameson Williams DET WR,WR4,,6,1.07,7.0,Ja'Marr Chase CIN WR,,QB6,Lamar Jackson BAL QB,7.9,RB6,Breece Hall NYJ RB,22.2,WR6,Deebo Samuel SF WR,28.1,TE6,Darren Waller LV TE,61.8
,Team Size,12,,,7,1.07,7.2,Kyler Murray ARI QB,QB5,,7,7.09,80.8,Rookie 1.07 Pick,,7,1.07,7.1,Lamar Jackson BAL QB,QB5,,7,1.07,6.9,Kenny Pickett PIT QB,QB1,,7,1.07,7.2,Kyler Murray ARI QB,,QB7,Dak Prescott DAL QB,12.5,RB7,Austin Ekeler LAC RB,25.9,WR7,Jaylen Waddle MIA WR,30.2,TE7,Dalton Schultz DAL TE,85.6
,TE Premium,All,,,8,1.08,7.9,Lamar Jackson BAL QB,QB6,,8,8.03,87.5,Rookie 1.08 Pick,,8,1.08,7.9,Ja'Marr Chase CIN WR,WR2,,8,1.08,7.6,Chris Olave NO WR,WR5,,8,1.08,7.9,Lamar Jackson BAL QB,,QB8,Deshaun Watson CLE QB,13.5,RB8,Joe Mixon CIN RB,29.0,WR8,Davante Adams LV WR,33.5,TE8,Pat Freiermuth PIT TE,86.9
,LeagueType,All,,,9,1.08,8.4,Justin Jefferson MIN WR,WR2,,9,8.09,93.1,Rookie 1.09 Pick,,9,1.08,8.2,Kyler Murray ARI QB,QB6,,9,1.10,9.7,Skyy Moore KC WR,WR6,,9,1.08,8.4,Justin Jefferson MIN WR,,QB9,Trey Lance SF QB,19.5,RB9,Dalvin Cook MIN RB,37.6,WR9,DK Metcalf SEA WR,34.4,TE9,Dallas Goedert PHI TE,88.0
,BestBall,All,,,10,1.11,11.3,Najee Harris PIT RB,RB2,,10,9.03,98.9,Rookie 1.10 Pick,,10,1.11,10.7,Kyle Pitts ATL TE,TE1,,10,1.10,10.2,Christian Watson GB WR,WR7,,10,1.11,11.3,Najee Harris PIT RB,,QB10,Russell Wilson DEN QB,21.0,RB10,Derrick Henry TEN RB,45.4,WR10,Tee Higgins CIN WR,35.1,TE10,Dawson Knox BUF TE,101.9
